pos,nombre-equipo,Pj,Pg,Pp,Pfavor,Pcontra,Dif,presupuesto,Image_URL
1,Boston Celtics,64,50,14,7728,7018,710,183132917,https://cdn.ssref.net/req/202312151/tlogo/bbr/BOS-2024.png
2,Milwaukee Bucks,65,42,23,7860,7612,248,186371613,https://cdn.ssref.net/req/202312151/tlogo/bbr/MIL-2024.png
3,Cleveland Cavaliers,65,41,24,7392,7128,264,164791928,https://cdn.ssref.net/req/202312151/tlogo/bbr/CLE-2024.png
4,New York Knicks,64,37,27,7191,6962,229,160019160,https://cdn.ssref.net/req/202312151/tlogo/bbr/NYK-2024.png
5,Orlando Magic,65,37,28,7192,7110,82,130964349,https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
6,Philadelphia 76ers,64,36,28,7418,7229,189,164767134,https://cdn.ssref.net/req/202312151/tlogo/bbr/PHI-2024.png
7,Indiana Pacers,65,36,29,8001,7894,107,144886878,https://cdn.ssref.net/req/202312151/tlogo/bbr/IND-2024.png
8,Miami Heat,64,35,29,7072,7036,36,174867777,https://cdn.ssref.net/req/202312151/tlogo/bbr/MIA-2024.png
9,Chicago Bulls,65,31,34,7250,7375,-125,165985053,https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
10,Atlanta Hawks,64,29,35,7656,7773,-117,159443905,https://cdn.ssref.net/req/202312151/tlogo/bbr/ATL-2024.png
11,Brooklyn Nets,65,26,39,7275,7401,-126,152558890,https://cdn.ssref.net/req/202312151/tlogo/bbr/BRK-2024.png
12,Toronto Raptors,65,23,42,7426,7687,-261,162972031,https://cdn.ssref.net/req/202312151/tlogo/bbr/TOR-2024.png
13,Charlotte Hornets,65,16,49,6959,7623,-664,140524594,https://cdn.ssref.net/req/202312151/tlogo/bbr/CHO-2024.png
14,Washington Wizards,64,11,53,7323,7931,-608,147127012,https://cdn.ssref.net/req/202312151/tlogo/bbr/WAS-2024.png
15,Detroit Pistons,64,11,53,7192,7729,-537,136822900,https://cdn.ssref.net/req/202312151/tlogo/bbr/DET-2024.png
