pos,nombre-equipo,Pj,Pg,Pp,Pfavor,Pcontra,Dif,presupuesto,Image_URL
1,Oklahoma City Thunder,64,45,19,7734,7225,509,162150251,https://cdn.ssref.net/req/202312151/tlogo/bbr/OKC-2024.png
2,Denver Nuggets,65,45,20,7476,7193,283,179243682,https://cdn.ssref.net/req/202312151/tlogo/bbr/DEN-2024.png
3,Minnesota Timberwolves,65,44,21,7353,6944,409,163877639,https://cdn.ssref.net/req/202312151/tlogo/bbr/MIN-2024.png
4,Los Angeles Clippers,63,41,22,7381,7094,287,200521072,https://cdn.ssref.net/req/202312151/tlogo/bbr/LAC-2024.png
5,New Orleans Pelicans,64,39,25,7449,7110,339,164874578,https://cdn.ssref.net/req/202312151/tlogo/bbr/NOP-2024.png
6,Phoenix Suns,65,38,27,7604,7428,176,191121786,https://cdn.ssref.net/req/202312151/tlogo/bbr/PHO-2024.png
7,Sacramento Kings,63,36,27,7448,7429,19,154299364,https://cdn.ssref.net/req/202312151/tlogo/bbr/SAC-2024.png
8,Dallas Mavericks,65,37,28,7744,7659,85,164710326,https://cdn.ssref.net/req/202312151/tlogo/bbr/DAL-2024.png
9,Los Angeles Lakers,66,36,30,7741,7760,-19,168779941,https://cdn.ssref.net/req/202312151/tlogo/bbr/LAL-2024.png
10,Golden State Warriors,64,34,30,7587,7476,111,207885682,https://cdn.ssref.net/req/202312151/tlogo/bbr/GSW-2024.png
11,Houston Rockets,64,29,35,7232,7213,19,148777660,https://cdn.ssref.net/req/202312151/tlogo/bbr/HOU-2024.png
12,Utah Jazz,64,28,36,7534,7725,-191,130969986,https://cdn.ssref.net/req/202312151/tlogo/bbr/UTA-2024.png
13,Memphis Grizzlies,65,22,43,6876,7313,-437,162066648,https://cdn.ssref.net/req/202312151/tlogo/bbr/MEM-2024.png
14,Portland Trail Blazers,64,18,46,6910,7429,-519,163345238,https://cdn.ssref.net/req/202312151/tlogo/bbr/POR-2024.png
15,San Antonio Spurs,65,14,51,7311,7809,-498,141287849,https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
