"Jugador","Salario"
"Shai Gilgeous-Alexa.","$33.386.850"
"Gordon Hayward","$31.500.000"
"Kevin Porter Jr.","$18.239.000"
"Luguentz Dort","$15.277.778"
"Chet Holmgren","$10.386.000"
"Josh Giddey","$6.587.160"
"Rudy Gay","$6.479.000"
"Kenrich Williams","$6.175.000"
"Cason Wallace","$5.291.400"
"Aleksej Pokusevski","$5.009.633"
"Ousmane Dieng","$4.798.440"
"Jalen Williams","$4.558.680"
"Usman Garuba","$2.588.400"
"TyTy Washington","$2.320.440"
"Jaylin Williams","$2.000.000"
"Isaiah Joe","$1.997.238"
"Aaron Wiggins","$1.836.096"
"Bismack Biyombo","$1.194.075"
"Lindy Waters","$1.116.764"
"Mike Muscala","$808.297"
"Jack White","$600.000"
"Olivier Sarr",""
"Keyontae Johnson",""
"Adam Flagler",""
