Jugador,Salario
Trae Young,40064220
Clint Capela,22116000
De'Andre Hunter,20089286
Bogdan Bogdanovic,18700000
Dejounte Murray,18214000
Onyeka Okongwu,8109063
Patty Mills,6802950
Saddiq Bey,4556983
Kobe Bufkin,4094280
A.J. Griffin,3712920
Wesley Matthews,3196448
Jalen Johnson,2925480
Bruno Fernando,2581522
Garrison Mathews,2000000
Mouhamed Gueye,1119563
Trent Forrest,968162
Miles Norris,193028
Jrue Holiday,36158747
Kristaps Porzingis,36016200
Jayson Tatum,32600060
Jaylen Brown,31830357
Derrick White,18107143
Al Horford,10000000
Payton Pritchard,4037278
Luke Kornet,2413304
Svi Mykhailiuk,2346614
Jaden Springer,2226360
Oshae Brissett,2165000
Xavier Tillman,1930681
Sam Hauser,1927896
Jordan Walsh,1119563
Nathan Knight,160857
Demetrius Jackson,92857
Ben Simmons,37893408
Cameron Johnson,25700000
Mikal Bridges,21700000
Dorian Finney-Smith,13394160
Dennis Schröder,12405000
Nicolas Claxton,8750000
Noah Clowney,3089520
Dariq Whitehead,2966040
Dennis Smith Jr.,2528233
Keita Bates-Diop,2346614
Lonnie Walker,2346614
Cam Thomas,2240040
Day'Ron Sharpe,2210160
Harry Giles,2092354
Trendon Watford,2019706
Jordan Goodwin,1927986
Jalen Wilson,707770
Armoni Brooks,241285
Damian Lillard,45640084
G. Antetokounmpo,45640084
Khris Middleton,29320988
Brook Lopez,25000000
Bobby Portis,11710818
Pat Connaughton,9423869
Patrick Beverley,3196448
Jae Crowder,3196448
Malik Beasley,2709849
MarJon Beauchamp,2609400
Thanasis Antetokoun.,2346614
A.J. Green,1801769
Andre Jackson Jr.,1119563
Chris Livingston,1119563
Danilo Gallinari,1047112
Lindell Wigginton,244502
Marques Bolden,244502
Darius Garland,34005250
Donovan Mitchell,32600060
Jarrett Allen,20000000
Caris LeVert,15384616
Max Strus,14487684
Isaac Okoro,8920795
Evan Mobley,8882760
Georges Niang,8800000
Dean Wade,5709877
Ricky Rubio,3695311
Tristan Thompson,3196448
Damian Jones,2586665
Ty Jerome,2439025
Sam Merrill,1997238
Craig Porter Jr.,1866574
Zhaire Smith,116075
Sharife Cooper,103550
Zach LaVine,40064220
DeMar DeRozan,28600000
Lonzo Ball,20465117
Nikola Vucevic,18518519
Coby White,12444444
Patrick Williams,9835881
Alex Caruso,9460000
Ayo Dosunmu,6481481
Jevon Carter,6190476
Andre Drummond,3360000
Dalen Terry,3350760
Torrey Craig,2528233
Terry Taylor,2019706
Julian Phillips,1600000
Onuralp Bitim,895708
Justin Lewis,170508
Paul George,45640165
Kawhi Leonard,45640084
James Harden,35640000
Norman Powell,18000000
P.J. Tucker,11014500
Ivica Zubac,10933333
Terance Mann,10576923
Mason Plumlee,5000000
Russell Westbrook,3835738
Amir Coffey,3666667
Kobe Brown,2413320
Bones Hyland,2306400
Daniel Theis,2179511
Josh Primo,1838335
B.J. Boston,1836096
Luka Doncic,40064220
Kyrie Irving,37037037
Tim Hardaway Jr.,17897728
P.J. Washington,16847826
Daniel Gafford,12402000
Maxi Kleber,11000000
Dereck Lively II,4775640
Josh Green,4765339
Dwight Powell,4000000
Markieff Morris,3196448
Dante Exum,3000000
Olivier-Max. Prosper,2733720
Derrick Jones Jr.,2709849
Jaden Hardy,1719864
Dexter Dennis,212331
Nikola Jokic,47607350
Jamal Murray,33833400
Michael Porter Jr.,33386850
Aaron Gordon,21266182
K. Caldwell-P.,14704938
Reggie Jackson,5000000
Zeke Nnaji,4306281
DeAndre Jordan,3196448
Justin Holiday,3196448
Christian Braun,2949120
Julian Strawther,2431080
Peyton Watson,2303520
Vlatko Cancar,2234359
Jalen Pickett,1708143
Hunter Tyson,1119563
Stephen Curry,51915615
Klay Thompson,43219440
Chris Paul,30800000
Andrew Wiggins,24330357
Draymond Green,22321429
Gary Payton II,8715000
Kevon Looney,7500000
Jonathan Kuminga,6012720
Moses Moody,3918480
Brandin Podziemski,3352440
Dario Saric,2709849
Trayce Jackson-Davis,1119563
Gui Santos,1029483
Lester Quiñones,941306
Davis Bertans,17000000
Grant Williams,12405000
LaMelo Ball,10900635
Brandon Miller,10880400
Miles Bridges,7921300
Vasilije Micic,7723000
Cody Martin,7560000
Nick Richards,5000000
James Bouknight,4570080
Seth Curry,4000000
Mark Williams,3908160
Ish Smith,3196448
Tre Mann,3191280
