"Jugador","Salario"
"Trae Young","$40.064.220"
"Clint Capela","$22.116.000"
"De'Andre Hunter","$20.089.286"
"Bogdan Bogdanovic","$18.700.000"
"Dejounte Murray","$18.214.000"
"Onyeka Okongwu","$8.109.063"
"Patty Mills","$6.802.950"
"Saddiq Bey","$4.556.983"
"Kobe Bufkin","$4.094.280"
"A.J. Griffin","$3.712.920"
"Wesley Matthews","$3.196.448"
"Jalen Johnson","$2.925.480"
"Bruno Fernando","$2.581.522"
"Garrison Mathews","$2.000.000"
"Mouhamed Gueye","$1.119.563"
"Trent Forrest","$968.162"
"Seth Lundy",""
"Vit Krejci",""
"Miles Norris","$193.028"
