"Jugador","Salario"
"Jrue Holiday","$36.158.747"
"Kristaps Porzingis","$36.016.200"
"Jayson Tatum","$32.600.060"
"Jaylen Brown","$31.830.357"
"Derrick White","$18.107.143"
"Al Horford","$10.000.000"
"Payton Pritchard","$4.037.278"
"Luke Kornet","$2.413.304"
"Svi Mykhailiuk","$2.346.614"
"Jaden Springer","$2.226.360"
"Oshae Brissett","$2.165.000"
"Xavier Tillman","$1.930.681"
"Sam Hauser","$1.927.896"
"Jordan Walsh","$1.119.563"
"Neemias Queta",""
"J.D. Davison",""
"Drew Peterson",""
"Nathan Knight","$160.857"
"Demetrius Jackson","$92.857"
