"Jugador","Salario"
"Ben Simmons","$37.893.408"
"Cameron Johnson","$25.700.000"
"Mikal Bridges","$21.700.000"
"Dorian Finney-Smith","$13.394.160"
"Dennis Schröder","$12.405.000"
"Nicolas Claxton","$8.750.000"
"Thaddeus Young","$8.000.000"
"Noah Clowney","$3.089.520"
"Dariq Whitehead","$2.966.040"
"Dennis Smith Jr.","$2.528.233"
"Keita Bates-Diop","$2.346.614"
"Lonnie Walker","$2.346.614"
"Cam Thomas","$2.240.040"
"Day'Ron Sharpe","$2.210.160"
"Harry Giles","$2.092.354"
"Trendon Watford","$2.019.706"
"Jordan Goodwin","$1.927.986"
"Jalen Wilson","$707.770"
"Keon Johnson",""
"Armoni Brooks","$241.285"
"Jaylen Martin",""
"Jacob Gilyard",""
