"Jugador","Salario"
"Damian Lillard","$45.640.084"
"G. Antetokounmpo","$45.640.084"
"Khris Middleton","$29.320.988"
"Brook Lopez","$25.000.000"
"Bobby Portis","$11.710.818"
"Pat Connaughton","$9.423.869"
"Patrick Beverley","$3.196.448"
"Jae Crowder","$3.196.448"
"Malik Beasley","$2.709.849"
"MarJon Beauchamp","$2.609.400"
"Thanasis Antetokoun.","$2.346.614"
"A.J. Green","$1.801.769"
"Andre Jackson Jr.","$1.119.563"
"Chris Livingston","$1.119.563"
"Danilo Gallinari","$1.047.112"
"TyTy Washington",""
"Lindell Wigginton","$244.502"
"Marques Bolden","$244.502"
"Ryan Rollins",""
"Jaylin Galloway",""
