"Jugador","Salario"
"Darius Garland","$34.005.250"
"Donovan Mitchell","$32.600.060"
"Jarrett Allen","$20.000.000"
"Caris LeVert","$15.384.616"
"Max Strus","$14.487.684"
"Isaac Okoro","$8.920.795"
"Evan Mobley","$8.882.760"
"Georges Niang","$8.800.000"
"Dean Wade","$5.709.877"
"Ricky Rubio","$3.695.311"
"Tristan Thompson","$3.196.448"
"Damian Jones","$2.586.665"
"Ty Jerome","$2.439.025"
"Sam Merrill","$1.997.238"
"Craig Porter Jr.","$1.866.574"
"Emoni Bates",""
"Isaiah Mobley",""
"Pete Nance",""
"Zhaire Smith","$116.075"
"Sharife Cooper","$103.550"
