"Jugador","Salario"
"Zach LaVine","$40.064.220"
"DeMar DeRozan","$28.600.000"
"Lonzo Ball","$20.465.117"
"Nikola Vucevic","$18.518.519"
"Coby White","$12.444.444"
"Patrick Williams","$9.835.881"
"Alex Caruso","$9.460.000"
"Ayo Dosunmu","$6.481.481"
"Jevon Carter","$6.190.476"
"Andre Drummond","$3.360.000"
"Dalen Terry","$3.350.760"
"Torrey Craig","$2.528.233"
"Terry Taylor","$2.019.706"
"Julian Phillips","$1.600.000"
"Onuralp Bitim","$895.708"
"Adama Sanogo",""
"Henri Drell",""
"Justin Lewis","$170.508"
"Andrew Funk",""
