"Jugador","Salario"
"Paul George","$45.640.165"
"Kawhi Leonard","$45.640.084"
"James Harden","$35.640.000"
"Norman Powell","$18.000.000"
"P.J. Tucker","$11.014.500"
"Ivica Zubac","$10.933.333"
"Terance Mann","$10.576.923"
"Mason Plumlee","$5.000.000"
"Russell Westbrook","$3.835.738"
"Amir Coffey","$3.666.667"
"Kobe Brown","$2.413.320"
"Bones Hyland","$2.306.400"
"Daniel Theis","$2.179.511"
"Josh Primo","$1.838.335"
"B.J. Boston","$1.836.096"
"Moussa Diabaté",""
"Jordan Miller",""
"Xavier Moon",""
