"Jugador","Salario"
"Luka Doncic","$40.064.220"
"Kyrie Irving","$37.037.037"
"Tim Hardaway Jr.","$17.897.728"
"P.J. Washington","$16.847.826"
"Daniel Gafford","$12.402.000"
"Maxi Kleber","$11.000.000"
"Dereck Lively II","$4.775.640"
"Josh Green","$4.765.339"
"Dwight Powell","$4.000.000"
"Markieff Morris","$3.196.448"
"Dante Exum","$3.000.000"
"Olivier-Max. Prosper","$2.733.720"
"Derrick Jones Jr.","$2.709.849"
"JaVale McGee","$2.348.324"
"Jaden Hardy","$1.719.864"
"A.J. Lawson",""
"Greg Brown",""
"Brandon Williams",""
"Dexter Dennis","$212.331"
