"Jugador","Salario","tds3"
"Nikola Jokic","$47.607.350","$62.841.702"
"Jamal Murray","$33.833.400",""
"Michael Porter Jr.","$33.386.850",""
"Aaron Gordon","$21.266.182","$22.841.455"
"K. Caldwell-P.","$14.704.938","$15.440.185"
"Reggie Jackson","$5.000.000","$5.250.000"
"Zeke Nnaji","$4.306.281","$7.466.667"
"DeAndre Jordan","$3.196.448",""
"Justin Holiday","$3.196.448",""
"Christian Braun","$2.949.120",""
"Julian Strawther","$2.431.080",""
"Peyton Watson","$2.303.520",""
"Vlatko Cancar","$2.234.359",""
"Jalen Pickett","$1.708.143",""
"Hunter Tyson","$1.119.563",""
"Braxton Key","",""
"Jay Huff","",""
"Collin Gillespie","",""
