"Jugador","Salario"
"Kyle Lowry","$29.682.540"
"Davis Bertans","$17.000.000"
"Grant Williams","$12.405.000"
"LaMelo Ball","$10.900.635"
"Brandon Miller","$10.880.400"
"Miles Bridges","$7.921.300"
"Vasilije Micic","$7.723.000"
"Cody Martin","$7.560.000"
"Nick Richards","$5.000.000"
"James Bouknight","$4.570.080"
"Seth Curry","$4.000.000"
"Mark Williams","$3.908.160"
"Ish Smith","$3.196.448"
"Tre Mann","$3.191.280"
"Kai Jones","$3.047.760"
"Frank Ntilikina","$2.528.233"
"Nick Smith Jr.","$2.463.960"
"J.T. Thor","$1.836.096"
"Bryce McGowens","$1.719.864"
"Aleksej Pokusevski","$565.176"
"Leaky Black",""
"Amari Bailey",""
"Marques Bolden",""
"Nathan Mensah","$257.371"
"Théo Maledon","$167.291"
