"Jugador","Salario"
"Fred VanVleet","$40.806.300"
"Dillon Brooks","$22.627.671"
"Steven Adams","$12.600.000"
"Jalen Green","$9.891.600"
"Jeff Green","$9.600.000"
"Jabari Smith Jr.","$9.326.520"
"Amen Thompson","$8.809.320"
"Jock Landale","$8.000.000"
"Jae'Sean Tate","$6.500.000"
"Alperen Sengun","$3.536.400"
"Tari Eason","$3.527.160"
"Cam Whitmore","$3.218.160"
"Reggie Bullock","$3.196.448"
"Boban Marjanovic","$2.891.467"
"Aaron Holiday","$2.346.614"
"Jeremiah Robinson-E.","$1.900.000"
"Nate Williams",""
"Nate Hinton",""
"Jermaine Samuels",""
