"Jugador","Salario"
"Jalen Brunson","$26.346.666"
"Julius Randle","$25.660.800"
"Bojan Bogdanovic","$20.000.000"
"OG Anunoby","$18.642.857"
"Mitchell Robinson","$15.681.818"
"Josh Hart","$12.960.000"
"Donte DiVincenzo","$10.900.000"
"Alec Burks","$10.489.600"
"Isaiah Hartenstein","$8.195.121"
"Precious Achiuwa","$4.379.527"
"Jericho Sims","$1.927.896"
"Miles McBride","$1.836.096"
"DaQuan Jeffries","$951.635"
"Taj Gibson","$815.038"
"Dylan Windler","$659.454"
"Charlie Brown Jr.",""
"Jacob Toppin","$453.617"
"Duane Washington",""
"Jaylen Martin","$83.646"
"Dmytro Skapintsev","$35.389"
