"Jugador","Salario"
"LeBron James","$47.607.350"
"Anthony Davis","$40.600.080"
"D'Angelo Russell","$17.307.693"
"Rui Hachimura","$15.740.741"
"Austin Reaves","$12.015.150"
"Gabe Vincent","$10.500.000"
"Jarred Vanderbilt","$4.698.000"
"Taurean Prince","$4.516.000"
"Jalen Hood-Schifino","$3.695.040"
"Christian Wood","$2.709.849"
"Jaxson Hayes","$2.165.000"
"Cam Reddish","$2.165.000"
"Max Christie","$1.719.864"
"Spencer Dinwiddie","$1.554.664"
"Maxwell Lewis","$1.119.563"
"Colin Castleton",""
"Skylar Mays",""
"D'Moi Hodge","$241.285"
"Alex Fudge","$241.285"
"Dylan Windler","$183.377"
"Harry Giles",""
