"Jugador","Salario"
"Ja Morant","$34.005.250"
"Jaren Jackson Jr.","$27.102.202"
"Marcus Smart","$18.583.713"
"Luke Kennard","$15.418.363"
"Brandon Clarke","$12.500.000"
"Victor Oladipo","$9.450.000"
"Bismack Biyombo","$5.000.000"
"Ziaire Williams","$4.810.200"
"Desmond Bane","$3.845.083"
"Jake LaRavia","$3.199.920"
"Derrick Rose","$3.196.448"
"Vince Williams Jr.","$2.486.462"
"Josh Christopher","$2.485.200"
"John Konchar","$2.400.000"
"Chimezie Metu","$2.346.614"
"Yuta Watanabe","$2.346.614"
"G.G. Jackson","$2.342.096"
"Santi Aldama","$2.194.200"
"Lamar Stevens","$2.092.354"
"Isaiah Todd","$1.836.096"
"Kennedy Chandler","$1.719.864"
"Kennet Lofton Jr.","$1.719.864"
"Jacob Gilyard","$398.925"
"Scotty Pippen Jr.",""
"Jordan Goodwin",""
"Trey Jemison",""
"Jaylen Nowell","$248.850"
"Shaquille Harrison","$145.301"
"Matt Hurt","$128.686"
"Tosan Evbuomwan","$64.343"
