"Jugador","Salario"
"Jonathan Isaac","$17.400.000"
"Markelle Fultz","$17.000.000"
"Wendell Carter Jr.","$13.050.000"
"Gary Harris","$13.000.000"
"Paolo Banchero","$11.608.080"
"Joe Ingles","$11.000.000"
"Moritz Wagner","$8.000.000"
"Jalen Suggs","$7.252.200"
"Anthony Black","$7.245.480"
"Cole Anthony","$5.539.771"
"Franz Wagner","$5.508.720"
"Chuma Okeke","$5.266.713"
"Jett Howard","$5.026.800"
"Goga Bitadze","$2.066.585"
"Caleb Houstan","$2.000.000"
"Trevelin Queen",""
"Admiral Schofield",""
"Kevon Harris",""
