"Jugador","Salario"
"Pascal Siakam","$37.893.408"
"Myles Turner","$20.975.000"
"Doug McDermott","$13.750.000"
"T.J. McConnell","$8.700.000"
"Daniel Theis","$6.928.876"
"Bennedict Mathurin","$6.916.080"
"Obi Toppin","$6.803.012"
"Jarace Walker","$6.059.520"
"Tyrese Haliburton","$5.808.435"
"Aaron Nesmith","$5.634.257"
"Furkan Korkmaz","$5.370.370"
"Jalen Smith","$5.043.773"
"Cory Joseph","$3.196.448"
"Isaiah Jackson","$2.696.280"
"James Johnson","$2.608.596"
"Ben Sheppard","$2.537.160"
"Andrew Nembhard","$2.131.905"
"Nik Stauskas","$702.311"
"Juwan Morgan","$576.230"
"Kendall Brown",""
"Oscar Tshiebwe",""
"Isaiah Wong",""
"Malik Fitts","$555.217"
