"Jugador","Salario"
"C.J. McCollum","$35.802.469"
"Zion Williamson","$34.005.250"
"Brandon Ingram","$33.833.400"
"Jonas Valanciunas","$15.435.000"
"Herbert Jones","$12.015.150"
"Larry Nance, Jr.","$10.375.000"
"Dyson Daniels","$5.784.120"
"Jordan Hawkins","$4.310.160"
"Trey Murphy III","$3.359.280"
"Cody Zeller","$3.196.448"
"Naji Marshall","$1.930.681"
"Jose Alvarado","$1.836.096"
"E.J. Liddell","$1.801.769"
"Jeremiah Robinson-E.","$1.025.680"
"Dereon Seabron",""
"Matt Ryan",""
"Malcolm Hill",""
"Izaiah Brockington","$64.343"
"Jalen Crutcher","$64.343"
"Kaiser Gates","$35.389"
