"Jugador","Salario"
"Joe Harris","$19.928.571"
"Evan Fournier","$18.857.143"
"James Wiseman","$12.119.440"
"Cade Cunningham","$11.055.240"
"Ausar Thompson","$7.977.480"
"Jaden Ivey","$7.614.480"
"Killian Hayes","$7.413.955"
"Danilo Gallinari","$6.802.950"
"Isaiah Stewart","$5.266.713"
"Shake Milton","$5.000.000"
"Jalen Duren","$4.330.680"
"Danuel House","$4.310.250"
"Troy Brown","$4.000.000"
"Malachi Flynn","$3.873.025"
"Mike Muscala","$3.500.000"
"Simone Fontecchio","$3.044.872"
"Dewayne Dedmon","$2.866.666"
"Marcus Sasser","$2.624.040"
"Ryan Arcidiacono","$2.528.233"
"Quentin Grimes","$2.385.720"
"Stanley Umude","$934.168"
"Jared Rhoden",""
"Malcolm Cazalon","$389.274"
"Tosan Evbuomwan",""
"Buddy Boeheim",""
