"Jugador","Salario"
"Deandre Ayton","$32.459.438"
"Jerami Grant","$27.586.207"
"Anfernee Simons","$24.107.143"
"Malcolm Brogdon","$22.500.000"
"Robert Williams","$11.812.501"
"Matisse Thybulle","$10.500.000"
"Scoot Henderson","$9.770.880"
"Shaedon Sharpe","$6.313.800"
"Kris Murray","$2.847.480"
"Andrew Nicholson","$2.844.429"
"Duop Reath","$2.324.408"
"Moses Brown","$2.165.000"
"Dalano Banton","$2.019.706"
"Jabari Walker","$1.719.864"
"Toumani Camara","$1.119.563"
"Rayan Rupert","$1.119.563"
"Skylar Mays","$914.343"
"Ish Wainright","$853.149"
"Justin Minaya",""
"Ibou Badji",""
"Ashton Hagans",""
"Didi Louzada","$268.032"
"Taze Moore","$64.343"
"Jamaree Bouyea","$35.389"
