No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Player-additional
12,Grayson Allen,SG,6-4,198,October 8 1995,us,4,Duke,allengr01
34,Giannis Antetokounmpo,PF,6-11,242,December 6 1994,gr,9,,antetgi01
43,Thanasis Antetokounmpo,PF,6-7,219,July 18 1992,gr,4,,antetth01
0,MarJon Beauchamp,SF,6-6,199,October 12 2000,us,R,Yakima Valley Community College,beaucma01
5,Jevon Carter,PG,6-1,200,September 14 1995,us,4,West Virginia,carteje01
24,Pat Connaughton,SF,6-5,209,January 6 1993,us,7,Notre Dame,connapa01
99,Jae Crowder,PF,6-6,235,July 6 1990,us,10,Marquette,crowdja01
31,Goran Dragić,PG,6-4,190,May 6 1986,si,14,,dragigo01
20,A.J. Green,SG,6-4,200,September 27 1999,us,R,University of Northern Iowa,greenaj01
3,George Hill,PG,6-4,188,May 4 1986,us,14,IUPUI,hillge01
21,Jrue Holiday,PG,6-4,205,June 12 1990,us,13,UCLA,holidjr01
25,Serge Ibaka,C,6-11,235,September 18 1989,cg,13,,ibakase01
7,Joe Ingles,SF,6-9,220,October 2 1987,au,8,,inglejo01
3,Meyers Leonard,C,7-0,260,February 27 1992,us,9,Illinois,leoname01
11,Brook Lopez,C,7-1,282,April 1 1988,us,14,Stanford,lopezbr01
54,Sandro Mamukelashvili,C,6-11,240,May 23 1999,us,1,Seton Hall,mamuksa01
23,Wesley Matthews,SF,6-5,220,October 14 1986,us,13,Marquette,matthwe02
22,Khris Middleton,SF,6-7,222,August 12 1991,us,10,Texas A&M,middlkh01
13,Jordan Nwora,SF,6-8,225,September 9 1998,us,2,Louisville,nworajo01
9,Bobby Portis,PF,6-10,250,February 10 1995,us,7,Arkansas,portibo01
28,Lindell Wigginton,PG,6-2,189,March 28 1998,ca,1,Iowa State,wiggili01
13,Malcolm Brogdon,PG,6-4,229,December 11 1992,us,6,Virginia,brogdma01
7,Jaylen Brown,SF,6-6,223,October 24 1996,us,6,California,brownja02
99,Justin Champagnie,SF,6-6,200,June 29 2001,us,1,Pitt,champju01
20,JD Davison,SG,6-1,195,October 3 2002,us,R,Alabama,davisjd01
91,Blake Griffin,C,6-9,250,March 16 1989,us,12,Oklahoma,griffbl01
30,Sam Hauser,SF,6-8,215,December 8 1997,us,1,Marquette Virginia,hausesa01
42,Al Horford,C,6-9,240,June 3 1986,do,15,Florida,horfoal01
43,Justin Jackson,SF,6-8,220,March 28 1995,us,5,UNC,jacksju01
