equipos,presupuesto
Boston Celtics,183132917
Miami Heat,174867777
Chicago Bulls,165985053
Cleveland Cavaliers,164791928
Philadelphia 76ers,164767134
Toronto Raptors,162972031
New York Knicks,160019160
Atlanta Hawks,159443905
Brooklyn Nets,152558890
Washington Wizards,147127012
Indiana Pacers,144886878
Charlotte Hornets,140524594
Detroit Pistons,136822900
Orlando Magic,130964349
Los Angeles Clippers,200521072
Phoenix Suns,191121786
Denver Nuggets,179243682
Los Angeles Lakers,168779941
New Orleans Pelicans,164874578
Dallas Mavericks,164710326
Minnesota Timberwolves,163877639
Portland Trail Blazers,163345238
Oklahoma City Thunder,162150251
Memphis Grizzlies,162066648
Sacramento Kings,154299364
Houston Rockets,148777660
San Antonio Spurs,141287849
Utah Jazz,130969986
Golden State Warriors,207885682
Milwaukee Bucks,186371613
