"Jugador","Salario"
"RJ Barrett","$23.883.929"
"Bruce Brown","$21.951.220"
"Spencer Dinwiddie","$20.357.143"
"Jakob Poeltl","$19.500.000"
"Gary Trent Jr.","$18.785.000"
"Kelly Olynyk","$12.195.122"
"Chris Boucher","$11.750.000"
"Scottie Barnes","$8.008.560"
"Gradey Dick","$4.536.720"
"Jalen McDaniels","$4.516.000"
"Immanuel Quickley","$4.171.548"
"Ochai Agbaji","$4.114.200"
"Jordan Nwora","$3.200.000"
"Garrett Temple","$3.196.448"
"Christian Koloko","$1.719.864"
"Javon Freeman","$707.770"
"Markquis Nowell",""
"Jontay Porter",""
"D.J. Carton",""
"Justise Winslow","$166.176"
"Ron Harper Jr.","$147.988"
"Mouhamadou Gueye","$64.343"
