"pos","cont-img-escudo src","nombre-equipo","Pj","Pg","Pp","Pfavor","Pcontra","Dif"
"1","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4453.png","Boston Celtics","64","50","14","7728","7018","710"
"2","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4468.png","Milwaukee Bucks","65","42","23","7860","7612","248"
"3","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4457.png","Cleveland Cavaliers","65","41","24","7392","7128","264"
"4","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4471.png","New York Knicks","64","37","27","7191","6962","229"
"5","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4473.png","Orlando Magic","65","37","28","7192","7110","82"
"6","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4474.png","Philadelphia 76ers","64","36","28","7418","7229","189"
"7","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4463.png","Indiana Pacers","65","36","29","8001","7894","107"
"8","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4467.png","Miami Heat","64","35","29","7072","7036","36"
"9","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4456.png","Chicago Bulls","65","31","34","7250","7375","-125"
"10","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4452.png","Atlanta Hawks","64","29","35","7656","7773","-117"
"11","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4454.png","Brooklyn Nets","65","26","39","7275","7401","-126"
"12","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4479.png","Toronto Raptors","65","23","42","7426","7687","-261"
"13","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4455.png","Charlotte Hornets","65","16","49","6959","7623","-664"
"14","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4481.png","Washington Wizards","64","11","53","7323","7931","-608"
"15","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4460.png","Detroit Pistons","64","11","53","7192","7729","-537"
