"pos","cont-img-escudo src","nombre-equipo","Pj","Pg","Pp","Pfavor","Pcontra","Dif"
"1","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4472.png","Oklahoma City Thunder","64","45","19","7734","7225","509"
"2","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4459.png","Denver Nuggets","65","45","20","7476","7193","283"
"3","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4469.png","Minnesota Timberwolves","65","44","21","7353","6944","409"
"4","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4464.png","Los Angeles Clippers","63","41","22","7381","7094","287"
"5","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4470.png","New Orleans Pelicans","64","39","25","7449","7110","339"
"6","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4475.png","Phoenix Suns","65","38","27","7604","7428","176"
"7","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4477.png","Sacramento Kings","63","36","27","7448","7429","19"
"8","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4458.png","Dallas Mavericks","65","37","28","7744","7659","85"
"9","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4465.png","Los Angeles Lakers","66","36","30","7741","7760","-19"
"10","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4461.png","Golden State Warriors","64","34","30","7587","7476","111"
"11","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4462.png","Houston Rockets","64","29","35","7232","7213","19"
"12","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4480.png","Utah Jazz","64","28","36","7534","7725","-191"
"13","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4466.png","Memphis Grizzlies","65","22","43","6876","7313","-437"
"14","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4476.png","Portland Trail Blazers","64","18","46","6910","7429","-519"
"15","https://as01.epimg.net/img/comunes/fotos/fichas/equipos/x-small/4478.png","San Antonio Spurs","65","14","51","7311","7809","-498"
