"Jugador","Salario"
"De'Aaron Fox","$32.600.060"
"Domantas Sabonis","$30.600.000"
"Harrison Barnes","$17.000.000"
"Kevin Huerter","$15.669.643"
"Malik Monk","$9.945.830"
"Keegan Murray","$8.409.000"
"Trey Lyles","$8.000.000"
"Sasha Vezenkov","$6.341.464"
"Davion Mitchell","$5.063.760"
"Chris Duarte","$4.124.280"
"JaVale McGee","$3.196.448"
"Alex Len","$3.196.448"
"Robin Lopez","$3.196.448"
"Colby Jones","$2.019.706"
"Kessler Edwards","$1.927.896"
"Keon Ellis","$1.450.668"
"Jalen Slawson",""
"Filip Petrusev","$559.782"
"Jordan Ford",""
"Juan Toscano","$447.931"
"Nerlens Noel","$300.000"
"Neemias Queta","$250.000"
"Mason Jones",""
