"Jugador","Salario"
"Joel Embiid","$47.607.350"
"Tobias Harris","$39.270.150"
"Buddy Hield","$19.279.841"
"Nicolas Batum","$11.710.818"
"Robert Covington","$11.692.308"
"De'Anthony Melton","$8.000.000"
"Paul Reed","$7.723.000"
"Tyrese Maxey","$4.343.920"
"Montrezl Harrell","$2.891.467"
"Kelly Oubre","$2.891.467"
"Cameron Payne","$2.891.467"
"Mo Bamba","$2.346.614"
"K.J. Martin Jr.","$1.930.681"
"Kyle Lowry","$1.138.964"
"Ricky Council IV",""
"Terquavion Smith",""
"Danny Green","$500.000"
"Kennet Lofton Jr.","$228.417"
"Javonte Smart","$196.245"
"Jeff Dowtin",""
"Darius Bazley","$124.425"
