"Jugador","Salario"
"Keldon Johnson","$20.000.000"
"Marcus Morris","$17.116.279"
"Victor Wembanyama","$12.160.680"
"Devonte' Graham","$12.100.000"
"Reggie Bullock","$10.489.600"
"Tre Jones","$9.895.833"
"Zach Collins","$7.700.000"
"Khem Birch","$6.985.000"
"Cedi Osman","$6.718.842"
"Cameron Payne","$6.500.000"
"Devin Vassell","$5.887.899"
"Jeremy Sochan","$5.316.960"
"Josh Primo","$4.341.600"
"Malaki Branham","$3.071.880"
"Julian Champagnie","$3.000.000"
"Blake Wesley","$2.504.640"
"Charles Bassey","$2.500.000"
"S. Mamukelashvili","$2.019.706"
"Sidy Cissoko","$1.119.563"
"Dominick Barlow","$877.065"
"Lamar Stevens","$400.000"
"David Duke Jr.",""
"Charles Bediako","$215.548"
"Mamadi Diakite","$199.463"
"Sir'Jabari Rice","$167.291"
"RaiQuan Gray",""
"Jamaree Bouyea",""
