Player,Tm,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,DRB,AST,TOV,PTS,Predict_salario,Real_salario,Diferencia_%,Image_URL
Precious Achiuwa,TOT,P,24,56,17,1276,3,6,0,1,3,5,0,1,3,1,1,8,4978289,4379527,"-13,671845937367145",
Bam Adebayo,Miami Heat,P,26,53,53,1835,7,14,0,0,7,14,4,6,8,4,2,19,26769982,32600060,"17,88363946942765",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIA-2024.png
Ochai Agbaji,TOT,ES,23,63,14,1208,2,5,0,2,1,2,0,0,1,0,0,5,3219585,4114200,"21,744544238680795",
Santi Aldama,Memphis Grizzlies,AP,23,52,26,1334,4,9,1,4,2,4,0,1,4,2,1,10,5833777,2194200,"-165,87265044472275",https://cdn.ssref.net/req/202312151/tlogo/bbr/MEM-2024.png
Grayson Allen,Phoenix Suns,ES,28,58,58,1949,4,8,2,5,1,3,1,1,3,3,1,13,12949591,8500000,"-52,34813374712246",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHO-2024.png
Jarrett Allen,Cleveland Cavaliers,P,25,58,58,1836,6,10,0,0,6,10,3,4,7,2,1,16,21385632,20000000,"-6,928163840719239",https://cdn.ssref.net/req/202312151/tlogo/bbr/CLE-2024.png
Jose Alvarado,New Orleans Pelicans,BA,25,42,0,723,2,6,1,3,1,2,0,1,1,2,0,6,4132244,1836096,"-125,0560044945392",https://cdn.ssref.net/req/202312151/tlogo/bbr/NOP-2024.png
Kyle Anderson,Minnesota Timberwolves,AP,30,62,6,1382,2,5,0,0,2,4,1,1,2,4,1,6,7865063,9219512,"14,691108849630321",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIN-2024.png
Cole Anthony,Orlando Magic,BA,23,63,0,1448,4,9,1,3,3,6,2,3,3,3,1,11,6378361,5539771,"-15,137646492398089",https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
OG Anunoby,TOT,AL,26,41,41,1400,5,11,2,5,3,6,1,2,3,2,1,15,17464444,18642857,"6,320984393641202",
Ryan Arcidiacono,New York Knicks,BA,29,20,0,45,0,0,0,0,0,0,0,0,0,0,0,0,4132962,2528233,"-63,47237754961789",https://cdn.ssref.net/req/202312151/tlogo/bbr/NYK-2024.png
Deni Avdija,Washington Wizards,AL,23,60,60,1723,5,10,1,2,3,7,2,3,5,3,2,13,11622233,6263188,"-85,56417742372217",https://cdn.ssref.net/req/202312151/tlogo/bbr/WAS-2024.png
Deandre Ayton,Portland Trail Blazers,P,25,41,41,1303,6,11,0,0,6,11,1,1,7,1,1,14,23734839,32459438,"26,878465690848085",https://cdn.ssref.net/req/202312151/tlogo/bbr/POR-2024.png
Marvin Bagley III,TOT,P,24,44,22,932,4,8,0,0,4,7,2,2,3,1,1,11,10659488,12500000,"14,72409536704801",
Patrick Baldwin Jr.,Washington Wizards,AL,21,20,0,152,0,2,0,1,0,1,0,0,1,0,0,2,2672137,2337720,"-14,305284936238793",https://cdn.ssref.net/req/202312151/tlogo/bbr/WAS-2024.png
LaMelo Ball,Charlotte Hornets,BA,22,22,22,711,8,19,3,8,5,10,4,4,3,8,3,23,12789282,10900635,"-17,32603221897687",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHO-2024.png
Mo Bamba,Philadelphia 76ers,P,25,41,4,457,1,3,0,0,1,2,0,0,2,0,0,3,3293664,2346614,"-40,35816505845518",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHI-2024.png
Paolo Banchero,Orlando Magic,AP,21,62,62,2161,8,17,1,4,6,13,5,7,5,5,3,22,9793126,11608080,"15,635264071564139",https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
Desmond Bane,Memphis Grizzlies,ES,25,37,37,1277,8,18,3,8,5,10,3,3,3,5,2,24,25184870,3845083,"-554,9890024432583",https://cdn.ssref.net/req/202312151/tlogo/bbr/MEM-2024.png
Dalano Banton,TOT,BA,24,36,5,449,2,5,0,1,1,3,1,1,1,1,0,6,3390227,2019706,"-67,85749368591968",
Dominick Barlow,San Antonio Spurs,AP,20,26,1,350,1,3,0,0,1,3,1,1,2,1,0,4,3164617,877065,"-260,81907797239285",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
Harrison Barnes,Sacramento Kings,AP,31,62,62,1815,4,8,1,4,2,3,1,2,2,1,0,12,14839461,17000000,"12,709052738921772",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAC-2024.png
Scottie Barnes,Toronto Raptors,ES,22,60,60,2094,7,15,1,4,5,10,3,4,5,6,2,19,9724045,8008560,"-21,42064624702905",https://cdn.ssref.net/req/202312151/tlogo/bbr/TOR-2024.png
RJ Barrett,TOT,ES,23,52,52,1637,7,14,1,4,5,10,3,4,4,3,1,19,14288128,23883929,"40,17681076290333",
