"Jugador","Salario"
"John Collins","$25.340.000"
"Jordan Clarkson","$23.487.629"
"Collin Sexton","$17.325.000"
"Lauri Markkanen","$17.259.999"
"Talen Horton-Tucker","$11.020.000"
"Otto Porter","$6.300.000"
"Kira Lewis Jr.","$5.722.116"
"Taylor Hendricks","$5.569.920"
"Keyonte George","$3.889.800"
"Walker Kessler","$2.831.160"
"Omer Yurtseven","$2.800.000"
"Kris Dunn","$2.586.484"
"Brice Sensabaugh","$2.448.600"
"Kevin Knox","$2.144.320"
"Luka Samanic","$1.997.238"
"Johnny Juzang",""
"Micah Potter",""
"Jason Preston",""
"Josh Christopher","$247.720"
