"Jugador","Salario"
"Jordan Poole","$28.705.357"
"Kyle Kuzma","$25.568.182"
"Tyus Jones","$14.000.000"
"Marvin Bagley III","$12.500.000"
"Richaun Holmes","$12.046.020"
"Landry Shamet","$10.250.000"
"Delon Wright","$8.195.122"
"Bilal Coulibaly","$6.614.280"
"Deni Avdija","$6.263.188"
"Johnny Davis","$5.050.800"
"Corey Kispert","$3.722.040"
"Taj Gibson","$3.196.448"
"Patrick Baldwin Jr.","$2.337.720"
"Anthony Gill","$1.997.238"
"Isaiah Livers","$1.836.096"
"Xavier Cooks","$1.719.864"
"Ryan Rollins","$1.719.864"
"Eugene Omoruyi","$940.566"
"Jared Butler",""
"Jules Bernard",""
"Justin Champagnie",""
"John Butler Jr.","$144.771"
"Hamidou Diallo","$134.863"
"R.J. Hampton","$120.250"
"Trey Jemison","$64.343"
