Player,Tm,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,DRB,AST,TOV,PTS,Predict_salario,Real_salario,Diferencia_%,Image_URL
Precious Achiuwa,TOT,P,24,56,17,1276,3,6,0,1,3,5,0,1,3,1,1,8,4830726,4379527,"-10,302465779156222",
Bam Adebayo,Miami Heat,P,26,53,53,1835,7,14,0,0,7,14,4,6,8,4,2,19,26286284,32600060,"19,367375347280547",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIA-2024.png
Ochai Agbaji,TOT,ES,23,63,14,1208,2,5,0,2,1,2,0,0,1,0,0,5,3226214,4114200,"21,583439400746414",
Santi Aldama,Memphis Grizzlies,AP,23,52,26,1334,4,9,1,4,2,4,0,1,4,2,1,10,5816237,2194200,"-165,0732806604943",https://cdn.ssref.net/req/202312151/tlogo/bbr/MEM-2024.png
Grayson Allen,Phoenix Suns,ES,28,58,58,1949,4,8,2,5,1,3,1,1,3,3,1,13,12590597,8500000,"-48,12467350347737",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHO-2024.png
Jarrett Allen,Cleveland Cavaliers,P,25,58,58,1836,6,10,0,0,6,10,3,4,7,2,1,16,21170726,20000000,"-5,8536345295576195",https://cdn.ssref.net/req/202312151/tlogo/bbr/CLE-2024.png
Jose Alvarado,New Orleans Pelicans,BA,25,42,0,723,2,6,1,3,1,2,0,1,1,2,0,6,4123159,1836096,"-124,56119703349142",https://cdn.ssref.net/req/202312151/tlogo/bbr/NOP-2024.png
Kyle Anderson,Minnesota Timberwolves,AP,30,62,6,1382,2,5,0,0,2,4,1,1,2,4,1,6,7659400,9219512,"16,921839537457775",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIN-2024.png
Cole Anthony,Orlando Magic,BA,23,63,0,1448,4,9,1,3,3,6,2,3,3,3,1,11,6168185,5539771,"-11,34368210793387",https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
OG Anunoby,TOT,AL,26,41,41,1400,5,11,2,5,3,6,1,2,3,2,1,15,16133640,18642857,"13,459400438964852",
