Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salario
Precious Achiuwa,P,24,TOT,56,17,1276,195,391,0.499,23,85,0.271,172,306,0.562,0.528,55,89,0.618,150,223,373,78,38,52,63,107,468,4379527
Bam Adebayo,P,26,MIA,53,53,1835,403,793,0.508,1,14,0.071,402,779,0.516,0.509,250,325,0.769,117,429,546,214,57,51,130,128,1057,32600060
Ochai Agbaji,ES,23,TOT,63,14,1208,132,323,0.409,56,177,0.316,76,146,0.521,0.495,24,32,0.75,46,109,155,57,32,33,44,83,344,4114200
Santi Aldama,AP,23,MEM,52,26,1334,210,485,0.433,89,255,0.349,121,230,0.526,0.525,42,69,0.609,62,228,290,115,34,41,63,75,551,2194200
Grayson Allen,ES,28,PHO,58,58,1949,250,505,0.495,154,328,0.47,96,177,0.542,0.648,100,113,0.885,36,191,227,179,50,37,75,127,754,8500000
Jarrett Allen,P,25,CLE,58,58,1836,381,608,0.627,0,5,0.0,381,603,0.632,0.627,178,243,0.733,198,426,624,159,44,67,97,120,940,20000000
Jose Alvarado,BA,25,NOP,42,0,723,106,258,0.411,52,148,0.351,54,110,0.491,0.512,29,42,0.69,16,75,91,86,48,14,33,62,293,1836096
Kyle Anderson,AP,30,MIN,62,6,1382,151,323,0.467,8,37,0.216,143,286,0.5,0.48,77,109,0.706,45,172,217,253,50,32,77,96,387,9219512
Cole Anthony,BA,23,ORL,63,0,1448,256,594,0.431,65,206,0.316,191,388,0.492,0.486,157,190,0.826,52,200,252,194,53,29,106,154,734,5539771
OG Anunoby,AL,26,TOT,41,41,1400,238,478,0.498,86,227,0.379,152,251,0.606,0.588,65,84,0.774,39,132,171,93,53,28,62,96,627,18642857
Ryan Arcidiacono,BA,29,NYK,20,0,45,0,6,0.0,0,6,0.0,0,0,,0.0,0,0,,0,8,8,4,2,0,2,5,0,2528233
Deni Avdija,AL,23,WAS,60,60,1723,306,606,0.505,70,175,0.4,236,431,0.548,0.563,143,193,0.741,68,342,410,223,48,26,121,150,825,6263188
Deandre Ayton,P,25,POR,41,41,1303,279,490,0.569,0,1,0.0,279,489,0.571,0.569,44,53,0.83,126,316,442,70,44,32,72,90,602,32459438
Marvin Bagley III,P,24,TOT,44,22,932,207,360,0.575,5,17,0.294,202,343,0.589,0.582,89,119,0.748,119,153,272,54,17,28,53,77,508,12500000
Patrick Baldwin Jr.,AL,21,WAS,20,0,152,18,47,0.383,11,27,0.407,7,20,0.35,0.5,8,12,0.667,7,36,43,8,2,4,6,22,55,2337720
LaMelo Ball,BA,22,CHO,22,22,711,183,423,0.433,70,197,0.355,113,226,0.5,0.515,90,104,0.865,29,84,113,176,40,4,83,79,526,10900635
Mo Bamba,P,25,PHI,41,4,457,62,132,0.47,14,34,0.412,48,98,0.49,0.523,21,33,0.636,57,100,157,28,13,40,30,64,159,2346614
Paolo Banchero,AP,21,ORL,62,62,2161,508,1099,0.462,94,257,0.366,414,842,0.492,0.505,310,439,0.706,69,356,425,322,61,36,192,123,1420,11608080
Desmond Bane,ES,25,MEM,37,37,1277,330,696,0.474,123,320,0.384,207,376,0.551,0.563,121,140,0.864,34,135,169,196,38,20,99,106,904,3845083
Dalano Banton,BA,24,TOT,36,5,449,80,193,0.415,21,67,0.313,59,126,0.468,0.469,43,61,0.705,28,61,89,50,11,9,27,38,224,2019706
Dominick Barlow,AP,20,SAS,26,1,350,49,97,0.505,3,8,0.375,46,89,0.517,0.521,27,40,0.675,38,55,93,30,11,13,5,40,128,877065
Harrison Barnes,AP,31,SAC,62,62,1815,263,537,0.49,115,291,0.395,148,246,0.602,0.597,115,142,0.81,49,126,175,70,43,10,43,78,756,17000000
Scottie Barnes,ES,22,TOR,60,60,2094,447,942,0.475,101,296,0.341,346,646,0.536,0.528,196,251,0.781,141,353,494,363,75,88,165,118,1191,8008560
RJ Barrett,ES,23,TOT,52,52,1637,375,768,0.488,85,230,0.37,290,538,0.539,0.544,175,249,0.703,44,228,272,162,28,20,103,113,1010,23883929
Charles Bassey,P,23,SAS,19,0,205,29,40,0.725,0,1,0.0,29,39,0.744,0.725,5,6,0.833,23,53,76,21,8,17,15,31,63,2500000
Keita Bates-Diop,AL,28,TOT,48,8,648,72,165,0.436,21,69,0.304,51,96,0.531,0.5,30,40,0.75,31,76,107,37,24,22,15,34,195,2346614
Nicolas Batum,AP,35,TOT,42,30,1022,82,171,0.48,51,121,0.421,31,50,0.62,0.629,14,19,0.737,52,114,166,90,29,30,26,84,229,11710818
Darius Bazley,AP,23,PHI,3,0,10,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,2,0,0,1,0,0,124425
Bradley Beal,ES,30,PHO,35,35,1141,251,506,0.496,59,155,0.381,192,351,0.547,0.554,84,107,0.785,30,113,143,161,33,10,87,90,645,46741590
Malik Beasley,ES,27,MIL,62,62,1836,253,553,0.458,179,411,0.436,74,142,0.521,0.619,17,27,0.63,39,200,239,88,53,7,43,129,702,2709849
MarJon Beauchamp,AL,23,MIL,45,1,589,74,155,0.477,28,71,0.394,46,84,0.548,0.568,19,28,0.679,22,74,96,30,12,6,27,52,195,2609400
Patrick Beverley,BA,35,TOT,59,6,1137,127,304,0.418,47,142,0.331,80,162,0.494,0.495,59,73,0.808,40,144,184,169,34,24,59,102,360,3196448
Saddiq Bey,AL,24,ATL,62,50,2035,287,686,0.418,110,350,0.314,177,336,0.527,0.499,165,197,0.838,166,240,406,90,51,11,54,87,849,4556983
Goga Bitadze,P,24,ORL,52,33,906,117,193,0.606,2,12,0.167,115,181,0.635,0.611,52,79,0.658,103,167,270,75,30,70,40,102,288,2066585
Onuralp Bitim,ES,24,CHI,8,0,96,9,24,0.375,8,18,0.444,1,6,0.167,0.542,3,4,0.75,2,10,12,3,2,1,3,6,29,895708
Bismack Biyombo,P,31,TOT,34,27,741,68,123,0.553,0,0,,68,123,0.553,0.553,22,46,0.478,59,136,195,52,10,35,39,87,158,1194075
Anthony Black,BA,20,ORL,58,33,1077,104,224,0.464,34,85,0.4,70,139,0.504,0.54,48,75,0.64,31,102,133,86,32,18,51,104,290,7245480
Bol Bol,AP,24,PHO,26,0,291,65,104,0.625,10,30,0.333,55,74,0.743,0.673,7,10,0.7,25,67,92,11,6,16,11,30,147,2165000
Marques Bolden,P,25,TOT,4,0,16,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,3,3,0,0,0,1,2,0,244502
Devin Booker,BA,27,PHO,50,50,1788,480,971,0.494,110,290,0.379,370,681,0.543,0.551,307,349,0.88,35,194,229,342,47,20,129,151,1377,36016200
Chris Boucher,AP,31,TOR,50,0,705,110,217,0.507,31,94,0.33,79,123,0.642,0.578,71,92,0.772,62,145,207,23,14,24,28,68,322,11750000
James Bouknight,ES,23,CHO,14,0,81,18,41,0.439,13,30,0.433,5,11,0.455,0.598,1,2,0.5,1,8,9,6,1,1,2,3,50,4570080
Jamaree Bouyea,BA,24,POR,6,0,57,5,21,0.238,0,8,0.0,5,13,0.385,0.238,0,0,,2,8,10,8,0,0,8,3,10,35389
Malaki Branham,BA,20,SAS,59,23,1228,211,480,0.44,70,196,0.357,141,284,0.496,0.513,45,48,0.938,21,97,118,132,23,6,70,74,537,3071880
Christian Braun,ES,22,DEN,64,1,1225,161,359,0.448,42,117,0.359,119,242,0.492,0.507,77,109,0.706,55,175,230,87,29,28,41,106,441,2949120
Mikal Bridges,AL,27,BRK,64,64,2265,470,1066,0.441,163,455,0.358,307,611,0.502,0.517,232,286,0.811,52,251,303,239,62,25,135,96,1335,21700000
Miles Bridges,AL,25,CHO,53,51,1985,435,943,0.461,126,349,0.361,309,594,0.52,0.528,135,161,0.839,52,348,400,174,55,27,107,98,1131,7921300
Oshae Brissett,AL,25,BOS,40,0,427,50,110,0.455,12,43,0.279,38,67,0.567,0.509,36,55,0.655,37,73,110,31,16,4,13,39,148,2165000
Izaiah Brockington,BA,24,NOP,1,0,3,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,1,1,2,0,0,0,0,0,4,64343
Malcolm Brogdon,BA,31,POR,39,25,1121,218,496,0.44,82,199,0.412,136,297,0.458,0.522,95,116,0.819,28,120,148,214,27,8,60,58,613,22500000
Armoni Brooks,BA,25,BRK,10,0,104,15,46,0.326,11,32,0.344,4,14,0.286,0.446,1,2,0.5,7,11,18,5,1,1,3,3,42,241285
Dillon Brooks,AL,28,HOU,54,54,1692,251,579,0.434,102,270,0.378,149,309,0.482,0.522,97,117,0.829,43,149,192,90,49,7,67,181,701,22627671
Bruce Brown,ES,27,TOT,52,38,1463,212,458,0.463,42,138,0.304,170,320,0.531,0.509,95,110,0.864,43,188,231,142,48,16,59,118,561,21951220
Jaylen Brown,AL,27,BOS,58,58,1938,513,1024,0.501,119,336,0.354,394,688,0.573,0.559,179,254,0.705,67,255,322,215,63,29,136,154,1324,31830357
Kobe Brown,AP,24,LAC,34,0,285,24,63,0.381,12,39,0.308,12,24,0.5,0.476,1,2,0.5,10,35,45,17,6,3,7,41,61,2413320
Moses Brown,P,24,POR,13,4,114,15,31,0.484,0,0,,15,31,0.484,0.484,1,7,0.143,22,33,55,4,2,4,6,15,31,2165000
Jalen Brunson,BA,27,NYK,58,58,2048,561,1173,0.478,154,376,0.41,407,797,0.511,0.544,301,356,0.846,32,181,213,376,53,11,143,116,1577,26346666
Thomas Bryant,P,26,MIA,27,3,275,45,81,0.556,0,7,0.0,45,74,0.608,0.556,18,22,0.818,25,53,78,16,6,8,15,28,108,2528233
Kobe Bufkin,ES,20,ATL,9,0,89,13,37,0.351,5,17,0.294,8,20,0.4,0.419,2,4,0.5,2,12,14,15,3,1,5,6,33,4094280
Reggie Bullock,AL,32,HOU,26,0,226,21,52,0.404,16,41,0.39,5,11,0.455,0.558,1,1,1.0,3,32,35,10,4,2,6,15,59,3196448
Alec Burks,ES,32,TOT,54,1,1072,191,504,0.379,113,295,0.383,78,209,0.373,0.491,132,151,0.874,21,107,128,77,23,12,41,71,627,10489600
Jimmy Butler,AP,34,MIA,44,44,1501,302,597,0.506,45,102,0.441,257,495,0.519,0.544,306,359,0.852,86,159,245,216,62,15,78,49,955,45183960
Toumani Camara,AP,23,POR,60,40,1448,162,371,0.437,48,146,0.329,114,225,0.507,0.501,67,90,0.744,120,181,301,65,58,26,71,148,439,1119563
Clint Capela,P,29,ATL,55,55,1390,255,457,0.558,0,0,,255,457,0.558,0.558,101,151,0.669,254,314,568,59,29,82,50,133,611,22116000
Jevon Carter,BA,28,CHI,61,0,830,115,306,0.376,65,194,0.335,50,112,0.446,0.482,3,5,0.6,7,40,47,72,32,13,30,62,298,6190476
Wendell Carter Jr.,P,24,ORL,37,31,968,155,287,0.54,45,106,0.425,110,181,0.608,0.618,71,99,0.717,74,174,248,59,17,20,45,85,426,13050000
Alex Caruso,ES,29,CHI,55,42,1513,187,402,0.465,93,245,0.38,94,157,0.599,0.581,59,76,0.776,49,154,203,162,86,62,73,141,526,9460000
Malcolm Cazalon,ES,22,DET,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,389274
Julian Champagnie,AL,22,SAS,56,41,954,106,268,0.396,70,192,0.365,36,76,0.474,0.526,48,58,0.828,34,113,147,71,32,30,36,56,330,3000000
Max Christie,ES,20,LAL,51,7,815,86,201,0.428,36,100,0.36,50,101,0.495,0.517,33,42,0.786,12,109,121,52,17,16,31,53,241,1719864
Sidy Cissoko,AL,19,SAS,6,0,32,1,6,0.167,0,4,0.0,1,2,0.5,0.167,4,4,1.0,0,6,6,0,3,0,1,2,6,1119563
Jordan Clarkson,ES,31,UTA,53,19,1616,327,791,0.413,90,303,0.297,237,488,0.486,0.47,173,196,0.883,49,135,184,267,34,6,140,77,917,23487629
Noah Clowney,AP,19,BRK,8,0,79,11,18,0.611,1,4,0.25,10,14,0.714,0.639,6,6,1.0,6,9,15,8,2,1,3,6,29,3089520
Amir Coffey,AL,26,LAC,50,9,936,105,204,0.515,40,99,0.404,65,105,0.619,0.613,45,51,0.882,18,67,85,45,28,7,21,65,295,3666667
John Collins,AP,26,UTA,60,58,1695,347,657,0.528,70,207,0.338,277,450,0.616,0.581,114,147,0.776,140,375,515,71,34,56,88,168,878,25340000
Zach Collins,P,26,SAS,52,26,1209,229,476,0.481,46,148,0.311,183,328,0.558,0.529,89,121,0.736,90,184,274,155,25,36,102,161,593,7700000
Mike Conley,BA,36,MIN,59,59,1706,209,476,0.439,129,303,0.426,80,173,0.462,0.575,72,79,0.911,27,147,174,364,62,12,70,96,619,24360000
